MAX_STRENGTH;Max Strength;Puissance max;Max. Stärke;;Fuerza máxima;;;;;;;;;x;
AIR_DETECTION;Air Detection;Détection aérienne;Luftortung;;Detec. aérea;;;;;;;;;x;
SUB_DETECTION;Sub Detection;Détection sous-marine;Unterwasserortung;;Detección sub.;;;;;;;;;x;
VISIBILITY;Visibility;Visibilité;Sichtbarkeit;;Visibilidad;;;;;;;;;x;
SEA_DEFENCE;Sea Defence;Défense navale;Seeverteidigung;;Def. marítima;;;;;;;;;x;
CONVOY_ATTACK;Convoy Attack;Attaque du convoi;Konvoiangriff;;Ataque a convoy;;;;;;;;;x;
SEA_ATTACK;Sea Attack;Attaque navale;Seeangriff;;Ataque marítimo;;;;;;;;;x;
SUB_ATTACK;Sub Attack;Attaque sous-marine;Unterwasserangriff;;Ataque sub.;;;;;;;;;x;
SHORE_BOMBARDMENT;Shore Bombardment;Bombardement côtier;Küstenbombardement;;Bombardeo costero;;;;;;;;;x;
SURFACE_DEFENCE;Surface Defence;Défense en surface;Oberflächenverteidigung;;Defensa superf.;;;;;;;;;x;
STRATEGIC_ATTACK;Strategic Attack;Attaque stratégique;Strategischer Angriff;;Ataque estrat.;;;;;;;;;x;
RADIO_STRENGTH;Radio Strength;Puissance radio;Funkstärke;;Potencia de radiotransmisión;;;;;;;;;x;
HULL;Hull;Coque;Rumpf;;Casco;;;;;;;;;x;
POSITIONING;Positioning;Positionnement;Positionierung;;Despliegue;;;;;;;;;x;
ALLOW_ESCORTS_TECH;Allows construction of convoy escorts;Permet la construction d'escortes pour les convois;Bau von Konvoi-Geleitschiffen ermöglichen;;Permite la construcción de escoltas para convoyes;;;;;;;;;x;
ESCORT_EFFICIENCY_TECH;Escort Efficiency;Efficacité de l'escorte;Geleitschiff-Effizienz;;Rendimiento de la escolta;;;;;;;;;x;
TARGET_CHOICE_TECH;Target Choice;Choix de la cible;Zielwahl;;Selección de objetivo;;;;;;;;;x;
TARGET_CHANCE_TECH;Target Chance;Probabilité d'atteinte de la cible;Zielwahl;;Probabilidad de objetivo;;;;;;;;;x;
NAVAL_BASE_EFF_TECH;Naval Base Efficiency;Efficacité de la base navale;Marinebasis-Effizienz;;Rendimiento de base naval;;;;;;;;;x;
CASUALTY_TRICKLEBACK_TECH;Casualty Trickleback;Évacuation des victimes;Verwundetenrückkehr;;Goteo de vuelta de bajas;;;;;;;;;x;
MAX_ATTRITION_TECH;Attrition;Attrition;Verlustquote;;El desgaste;;;;;;;;;x;
MANPOWER_GAIN_TECH;Manpower;Main d'œuvre;Mannstärke;;Rec. hum.;;;;;;;;;x;
IC_MOD_TECH;IC;CI;IK;;Aco Iro;;;;;;;;;x;
IC_EFFICIENCY_TECH;IC Efficiency;Efficacité CI;IK-Effizienz;;Rendimiento de CI;;;;;;;;;x;
ENERGY_TO_OIL_TECH;Energy to Oil;Énergie en pétrole;Energie zu Öl;;Energía en combustible;;;;;;;;;x;
IC_TO_SUPPLIES_TECH;Supplies Production;Production de ravitaillement;Nachschubproduktion;;Producción de suministros;;;;;;;;;x;
PROV_AA_TECH;Provincial AA Efficiency;Efficacité DCA provinciale;Provinzielle Flak-Effizienz;;Eficacia de la AA provincial;;;;;;;;;x;
COMBAT_EFF_TECH;Combat Efficiency;Efficacité au combat;Kampfeffizienz;;Eficacia en combate;;;;;;;;;x;
RESEARC_EFF_TECH;Research Efficiency;Efficacité des recherches;Forschungseffizienz;;Rendimiento de la investigación;;;;;;;;;x;
METAL_PROD_TECH;Metal Production;Production de métaux;Metallproduktion;;Producción de metal;;;;;;;;;x;
RARES_PROD_TECH;Rare Materials Production;Production de matériaux rares;Prod. seltener Materialien;;Producción de materiales raros;;;;;;;;;x;
ENERGY_PROD_TECH;Energy Production;Production d'énergie;Energieproduktion;;Producción de energía;;;;;;;;;x;
LEADERSHIP_GAIN_TECH;Leadership;Leadership;Führung;;Liderazgo;;;;;;;;;x;
NIGHT_ADJUSTER;Night;Nuit;Nacht;;Noche;;;;;;;;;x;
FORT_ADJUSTER;Fort;Fort;Fort;;Fuerte;;;;;;;;;x;
RIVER_ADJUSTER;River;Fleuve;Fluss;;Río;;;;;;;;;x;
AMPH_ADJUSTER;Amphibious;Amphibie;Amphibisch;;Anfibio;;;;;;;;;x;
UA_ATTACK;Attack;Attaque;Angriff;;Ataque;;;;;;;;;x;
UA_DEFENCE;Defence;Défense;Verteidigung;;Defensa;;;;;;;;;x;
UA_MOVEMENT;Movement;Mouvement;Bewegung;;Movimiento;;;;;;;;;x;
UA_ATTRITION;Attrition;Attrition;Verlustquote;;El desgaste;;;;;;;;;x;
NUKE_PROD_GAIN_TECH;Nuclear Production;Production nucléaire;Atomare Prod.;;Producción nuclear;;;;;;;;;x;
ORD_RED; Organisation Penalty;Pénalité d'organisation; Organisationsabzug;; Penalización a la organización;;;;;;;;;x;
ORD_EFF; Efficiency;Efficacité; Effizienz;; Rendimiento;;;;;;;;;x;
RADAR_IMPACT_TECH;Radar Combat Impact;Impact du radar sur le combat;Radard-Gefechtseinfluss;;Impacto del radar en combate;;;;;;;;;x;
REPAIR_RATE_TECH;Repair Rate;Taux de réparation;Reparaturgeschwindigkeit;;Velocidad de reparación;;;;;;;;;x;
BOMBER_TARGET_TECH;Bomber Target Selection;Sélection de la cible du bombardier;Bomber-Zielauswahl;;Selección de objetivos de bombardero;;;;;;;;;x;
FIGHTER_TARGET_TECH;Fighter Target Selection;Sélection de la cible du chasseur;Jäger-Zielauswahl;;Selección de objetivos de caza;;;;;;;;;x;
FRONTLINE_FOCUS_TECH;Frontline Target Focus;Cible ligne de front;Fronttruppen-Hauptziele;;Prioridad de objetivos del frente;;;;;;;;;x;
RESERVE_FOCUS_TECH;Reserves Target Focus;Cible réserves;Reserven-Hauptziele;;Prioridad de objetivos de la reserva;;;;;;;;;x;
NAVAL_AIR_TARGET_CHANCE_TECH;Naval Bombing Target Chance;Probabilité d'atteinte de la cible par bombardement naval;Marinebombardement - Trefferwahrsch.;;Oportunidad de objetivo de bombardeo naval ;;;;;;;;;x;
CARRIER_CAPACITY;Carrier CAG size;Taille du groupe aérien embarqué;Trägergeschwader-Größe;;Portaaviones tamaño GAE;;;;;;;;;x;
LISTENING_STATION_TECH;Allow radar installations to work as listening stations;Permettre aux installations radar d'opérer en tant que stations d'écoute;Radareinr. ermöglichen, als Horchposten zu fungieren;;Permitir que los puestos de radar actúen como puestos de escucha;;;;;;;;;x;
infantry_theory;Infantry Theory;Théorie de l'infanterie;Infanterie-Theorie;;Teoría de la infantería;;;;;;;;;x;
infantry_practical;Infantry Practical;Connaissances prat. infanterie;Infanterie-Praxis;;Práctica de la infantería;;;;;;;;;x;
militia_theory;Militia Theory;Théorie de la milice;Miliz-Theorie;;Teoría de la milicia;;;;;;;;;x;
militia_practical;Militia Practical;Connaissances prat. milice;Miliz-Praxis;;Práctica de la milicia;;;;;;;;;x;
mobile_theory;Mobile Unit Theory;Théorie de l'unité mobile;Mobile Einheiten-Theorie;;Teoría de la unidad de maniobra;;;;;;;;;x;
mobile_practical;Mobile Unit Practical;Connaissances pratiques de l'unité mobile;Mobile Einheiten-Praxis;;Práctica de la unidad de maniobra;;;;;;;;;x;
artillery_theory;Artillery Theory;Théorie de l'artillerie;Artillerie-Theorie;;Teoría de la artillería;;;;;;;;;x;
artillery_practical;Artillery Practical;Connaissances pratiques de l'artillerie;Artillerie-Praxis;;Práctica de la artillería;;;;;;;;;x;
rocket_science;Rocket Science;Fuséologie;Raketen-Theorie;;Técnica de cohetes;;;;;;;;;x;
rocket_practical;Rocket Practical;Connaissances pratiques en fuséologie;Raketen-Praxis;;Práctica de cohetes;;;;;;;;;x;
naval_engineering;Naval Engineering;Ingénierie navale;Marine-Ingenieurswesen;;Ingeniería naval;;;;;;;;;x;
destroyer_practical;Destroyer Practical;Connaissances pratiques des destroyers;Zerstörer-Praxis;;Práctica de destructores;;;;;;;;;x;
cruiser_practical;Cruiser Practical;Connaissances pratiques des croiseurs;Kreuzer-Praxis;;Práctica de cruceros;;;;;;;;;x;
capitalship_practical;Capital Ship Practical;Connaissances pratiques des navires capitaux;Großkampfschiff-Praxis;;Práctica de la gran unidad;;;;;;;;;x;
carrier_practical;Aircraft Carrier Practical;Connaissances pratiques des porte-avions;Flugzeugträger-Praxis;;Práctica de portaaviones;;;;;;;;;x;
submarine_engineering;Submarine Engineering;Ingénierie sous-marine;U-Boot-Ingenieurswesen;;Ingeniería submarina;;;;;;;;;x;
submarine_practical;Submarine Practical;Connaissances pratiques des sous-marins;U-Boot-Praxis;;Práctica submarina;;;;;;;;;x;
electornicegineering_theory;Electronic Engineering Theory;Théorie d'ingénierie électronique;Elektrotechnik-Theorie;;Teoría de ingeniería electrónica;;;;;;;;;x  ;
electornicegineering_practical;Electronic Engineering Practical;Connaissances pratiques en génie électronique;Elektrotechnik-Praxis;;Práctica de ingeniería electrónica;;;;;;;;;x;
automotive_theory;Automotive Theory;Théorie de l'autopropulsion;Automobil-Theorie;;Teoría del automóvil;;;;;;;;;x;
armour_practical;Armour Practical;Connaissances pratiques du blindage;Panzer-Praxis;;Práctica del blindaje;;;;;;;;;x;
aeronautic_engineering;Aeronautical Engineering;Ingénierie aéronautique;Flugingenieurwesen;;Ingeniería aeronáutica;;;;;;;;;x;
single_engine_aircraft_practical;Light Aircraft Practical;Connaissances pratiques des avions légers;Jagdflugzeug-Praxis;;Práctica de aviones ligeros;;;;;;;;;x;
twin_engine_aircraft_practical;Medium Bomber Practical;Connaissances pratiques des bombardiers moyens;Mittlere Bomber-Praxis;;Práctica de bombardero medio;;;;;;;;;x;
four_engine_aircraft_practical;Heavy Aircraft Practical;Connaissances pratiques des avions lourds;Schwere Bomber-Praxis;;Práctica de bombardero pesado;;;;;;;;;x;
spearhead_theory;Spearhead Doctrine;Doctrine du fer de lance;Blitzkrieg-Doktrin;;Doctrina de punta de ataque;;;;;;;;;x;
superior_firepower_theory;Superior Firepower Doctrine;Doctrine de la puissance de feu dominante;Feuerüberlegenheit-Doktrin;;Doctrina de la potencia de fuego superior;;;;;;;;;x;
grand_battleplan_theory;Grand Battleplan Doctrine;Doctrine du meilleur plan de bataille;Großer Schlachtplan-Doktrin;;Doctrina del plan de la gran batalla;;;;;;;;;x;
human_wave_theory;Human Wave Doctrine;Doctrine de la vague humaine;Menschenwelle-Doktrin;;Doctrina de la oleada humana;;;;;;;;;x;
mobile_warfare_theory;Mobile Warfare Doctrine;Mobile Warfare Doctrine;Mobile Warfare Doctrine;Mobile Warfare Doctrine;Mobile Warfare Doctrine;;;;;;;;;x;
land_doctrine_theory;Land Doctrine Theory;Théorie de la doctrine terrestre;Landdoktrin-Theorie;;Teoría de la doctrina de tierra;;;;;;;;;x;
land_doctrine_practical;Land Combat Experience;Expérience en combat terrestre;Bodenkampferfahrung;;Experiencia en combate terrestre;;;;;;;;;x;
naval_doctrine_practical;Naval Combat Experience;Expérience en combat naval;Seekampferfahrung;;Experiencia en combate naval;;;;;;;;;x;
base_strike_doctrine;Base Strike Doctrine;Doctrine de Frappe de la base;Doktrin des Basisangriffs;;Doctrina del ataque a base;;;;;;;;;x;
fleet_in_being_doctrine;Fleet in Being Doctrine;Doctrine du parc naval;Doktrin der Flottenpräsenz;;Doctrina de la flota en potencia;;;;;;;;;x;
sealane_interdiction_doctrine;Sealane Interdiction Doctrine;Doctrine d'interdiction du couloir de navigation;Doktrin der Seewegsabriegelung;;Doctrina de la interceptación de rutas marítimas;;;;;;;;;x;
air_doctrine_practical;Air Combat Experience;Expérience en combat aérien;Luftkampferfahrung;;Experiencia en combate aéreo;;;;;;;;;x;
fighter_focus;Fighter Focus;Objectif chasseur;Fokus auf Jagdflugzeuge;;Prioridad de los cazas;;;;;;;;;x;
cas_focus;Close Air Support Focus;Objectif soutien aérien rapproché;Fokus auf Luftnahunterstützung;;Prioridad del apoyo aéreo;;;;;;;;;x;
tac_focus;Tactical Airpower Focus;Objectif puissance aérienne tactique;Fokus auf taktische Luftüberlegenheit;;Prioridad del poder aéreo táctico;;;;;;;;;x;
nav_focus;Naval Aviation Focus;Objectif aviation navale;Fokus auf Marineflieger;;Prioridad de la aviación naval;;;;;;;;;x;
strategic_air_focus;Strategic Airpower Focus;Objectif puissance aérienne stratégique;Fokus auf strategische Luftüberlegenheit;;Prioridad del poder aéreo estratégico;;;;;;;;;x;
mechanicalengineering_theory;Mechanical Engineering;Génie mécanique;Maschinenbau;;Ingeniería mecánica;;;;;;;;;x;
chemical_engineering;Chemical Engineering;Génie chimique;Verfahrenstechnik;;Ingeniería química;;;;;;;;;x;
jetengine_theory;Jet Engine Theory;Théorie sur le réacteur;Strahltriebwerk-Theorie;;Teoría del motor a reacción;;;;;;;;;x;
jetengine_practical;Jet Engine Practical;Connaissances pratiques du réacteur;Strahltriebwerk-Praxis;;Práctica del motor a reacción;;;;;;;;;x;
nuclear_physics;Nuclear Physics;Physique nucléaire;Atomphysik;;Física nuclear;;;;;;;;;x;
nuclear_bomb;Nuclear Bomb Making;Fabrication de bombe nucléaire;Atombombenherstellung;;Producción de bomba nuclear;;;;;;;;;x;
transport_practical;Transport Practical;Connaissances pratiques des transports;Transport-Praxis;;Práctica del transporte;;;;;;;;;x;
airship_theory;Airship Theory;Airship Theory;Luftschiff Theorie;;Airship Theory;;;;;;;;;x;
airship_practical;Airship Practical;Airship Practical;Luftschiff Praxis;;Airship Practical;;;;;;;;;x;
chemical_practical;Chemical Weapons;Chemical Weapons;Chemische Waffen;;Chemical Weapons;;;;;;;;;x;
infantry_folder;Infantry;Infanterie;Infanterie;;Infantería;;;;;;;;;x;
armour_folder;Armour;Blindage;Panzer;;Blindaje;;;;;;;;;x;
smallship_folder;Small Ships;Petits navires;Kleinschiffe;;Buques ligeros;;;;;;;;;x;
capitalship_folder;Capital Ships;Navires capitaux;Großschiffe;;Grandes unidades;;;;;;;;;x;
bomber_folder;Artillery;Artillery;Artillery;;Artillery;;;;;;;;;x;
fighter_folder;Aircraft;Aircraft;Aircraft;;Aircraft;;;;;;;;;x;
industry_folder;Industry;Industrie;Industrie;;Industria;;;;;;;;;x;
secretweapon_folder;Secret Weapons;Armes secrètes;Geheimwaffen;;Armas secretas;;;;;;;;;x;
theory_folder;Theories;Théories;Theorien;;Teorías;;;;;;;;;x;
land_doctrine_folder;Land Doctrine;Doctrine terrestre;Landdoktrin;;Doctrina de tierra;;;;;;;;;x;
naval_doctrine_folder;Naval Doctrine;Doctrine navale;Marinedoktrin;;Doctrina naval;;;;;;;;;x;
air_doctrine_folder;Air Doctrine;Doctrine aérienne;Luftdoktrin;;Doctrina aérea;;;;;;;;;x;
TECH_INFANTRY;Infantry;Infanterie;Infanterie;;Infantería;;;;;;;;;x;
TECH_ARMOUR;Armour;Blindés;Panzer;;Blindaje;;;;;;;;;x;
TECH_ESCORTS;Escorts;Escortes;Geleitschiff;;Escoltas;;;;;;;;;x;
TECH_CAPITAL;Capital;Amiraux;Großschiff;;Capital;;;;;;;;;x;
TECH_BOMBER;Artillery;Artillery;Artillery;;Artillery;;;;;;;;;x;
TECH_FIGHTER;Aircraft;Aircraft;Aircraft;;Aircraft;;;;;;;;;x;
TECH_INDUSTRY;Industry;Industrie;Industrie;;Industria;;;;;;;;;x;
TECH_SECRET;Secret;Secret;Geheim;;Secreto;;;;;;;;;x;
TECH_THEORY;Theory;Théorie;Theorie;;Teoría;;;;;;;;;x;
TECH_LAND;Land;Terrestre;Land;;Tierra;;;;;;;;;x;
TECH_NAVAL;Naval;Naval;See;;Naval;;;;;;;;;x;
TECH_AIR;Air;Aérien;Luft;;Aéreos;;;;;;;;;x;
smallarms_technology;Small Arms;Armes légères;Infanteriewaffen;;Armas portátiles;;;;;;;;;x;
infantry_support;Infantry Support Weapons;Armes de soutien de l'infanterie;Infanterie-Unterstützungwaffen;;Armas de apoyo de infantería;;;;;;;;;x;
infantry_guns;Light Artillery;Artillerie légère;Leichte Artillerie;;Artillería ligera;;;;;;;;;x;
infantry_at;Infantry Anti-Tank Weapons;Armes anti-chars de l'infanterie;Infanterie-PAKs;;Armas anticarro de infantería;;;;;;;;;x;
mountain_infantry;Mountain Infantry;Infanterie alpine;Gebirgsjäger;;Infantería de montaña;;;;;;;;;x;
marine_infantry;Marine Infantry;Infanterie marine;Marine-Infanterie;;Infantería de marina;;;;;;;;;x;
night_goggles;Night Fighting Equipment;Équipement de combat de nuit;Nachtsichtausrüstung;;Equipo para combate nocturno;;;;;;;;;x;
militia_smallarms;Militia Small Arms;Armes légères de la milice;Miliz-Infanteriewaffen;;Armamento portátil de la milicia;;;;;;;;;x;
militia_support;Militia Support Weapons;Armes de soutien de la milice;Miliz-Unterstützungswaffen;;Armas de refuerzo de la milicia;;;;;;;;;x;
militia_guns;Militia Light Artillery;Artillerie légère de la milice;Leichte Miliz-Artillerie;;Artillería ligera de la milicia;;;;;;;;;x;
militia_at;Militia Anti-Tank Weapons;Armes anti-chars de la milice;Miliz-PAKs;;Armas anticarro de la milicia;;;;;;;;;x;
infantry_activation;Infantry Division;Division d'infanterie;Infanteriedivision;;División infant.;;;;;;;;;x;
militia_conversion;Militia Conversion;Formation de la milice;Miliz-Umrüstung;;Conversión de la milicia;;;;;;;;;x;
cavalry_smallarms;Cavalry Small Arms;Armes légères de la cavalerie;Kavallerie-Infanteriewaffen;;Armas portátiles de caballería;;;;;;;;;x;
cavalry_support;Cavalry Support Weapons;Armes de soutien de la cavalerie;Kavallerie-Unterstützungswaffen;;Armas de apoyo de caballería;;;;;;;;;x;
cavalry_guns;Cavalry Light Artillery;Artillerie légère de la cavalerie;Leichte berittene Artillerie;;Artillería ligera de caballería;;;;;;;;;x;
cavalry_at;Cavalry Anti-Tank Weapons;Armes anti-chars de la cavalerie;Berittene PAKs;;Armas anticarro de caballería;;;;;;;;;x;
engineer_brigade_activation;Engineer Brigade;Brigade d'ingénieurs;Pionierbrigade;;Brigada ingenieros;;;;;;;;;x;
engineer_bridging_equipment;Bridging Equipment;Équipement de pontage;Brückenbauausrüstung;;Material de paso de ríos;;;;;;;;;x;
engineer_assault_equipment;Assault Weapons;Armes d'assaut;Angriffswaffen;;Armas de asalto;;;;;;;;;x;
imporved_police_brigade;Improved Security Units;Unités de sécurité améliorées;Verbesserte Sicherheitseinheiten;;Unidades de seguridad mejoradas;;;;;;;;;x;
mortorised_infantry;Motorised Infantry;Infanterie motorisée;Motorisierte Infanterie;;Infantería motorizada;;;;;;;;;x ,,,;
desert_warfare_equipment;Desert Warfare Equipment;Équipement militaire pour le désert;Wüstenkampfausrüstung;;Equipo guerra desierto;;;;;;;;;x ,,,;
jungle_warfare_equipment;Jungle Warfare Equipment;Équipement militaire pour la jungle;Dschungelkampfausrüstung;;Equipo guerra jungla;;;;;;;;;x,,,;
mountain_warfare_equipment;Mountain Warfare Equipment;Équipement militaire alpin;Gebirgskampfausrüstung;;Equipo guerra montaña;;;;;;;;;x,,,;
artic_warfare_equipment;Arctic Warfare Equipment;Équipement militaire pour l'arctique;Ausrüstung für arkt. Kriegsführung;;Equipo guerra ártico;;;;;;;;;x,,,;
amphibious_warfare_equipment;Amphibious Warfare Equipment;Équipement militaire amphibie;Amphibische Kampfausrüstung;;Equipo guerra anfibio;;;;;;;;;x,,,;
airborne_warfare_equipment;Airborne Warfare Equipment;Équipement militaire aéroporté;Fallschirmjägerausrüstung;;Equipo de guerra aérea;;;;;;;;;x,,,;
gas_masks;Gas Masks;Gas Masks;Gasmasken;;Gas Masks;;;;;;;;;x,,,;
smallarms_technology_desc;Training and drill of infantry can only improve our units so far. Our infantry brigades could benefit from improvements to their small arms. By developing new weapons for our troops, we will enable them to bring more firepower to bear against infantry and other soft targets. ;Seul l'entraînement et l'exercice de l'infanterie peuvent améliorer nos unités pour le moment. Les armes légères de nos brigades d'infanterie pourraient bénéficier d'améliorations. En développant de nouvelles armes pour nos troupes, nous leur permettront ;Selbst die gründlichste Ausbildung unserer Infanterie hat ihre Grenzen. Unsere Infanteriebrigaden könnten von verbesserten Infanteriewaffen profitieren. Durch die Entwicklung neuer Waffen würden wir unseren Truppen im Kampf gegen feindliche Infanterie und andere ungepanzerte Ziele mehr Feuerkraft in die Hände geben.;;La instrucción y el ejercicio solo pueden mejorar nuestras unidades hasta este punto. Nuestras brigadas de infantería se podrían beneficiar de mejoras en sus armas portátiles. Si desarrollamos nuevas armas para nuestras tropas, les permitiremos desplegar más potencia de fuego contra otras unidades de infantería y demás objetivos "no blindados".;;;;;;;;;x,,;
infantry_support_desc;At some point our troops are going to have to hold key defensive positions. If we develop new support weapons, our infantry brigades should be able to better defend themselves when being attacked. ;À certains moments, nos troupes devront tenir des positions défensives clé. Si nous développons ensuite de nouvelles armes de soutien tout en garantissant des champs de tir défensifs, nos brigades d'infanterie devraient être en mesure de mieux se défendre lors d'une attaque. ;Früher oder später werden unsere Truppen Schlüsselpositionen halten müssen. Wenn wir neue Unterstützungswaffen entwickeln und unseren Infanteriebrigaden damit defensive Feuerunterstützung geben würden, sollten sie sich besser gegen Angriffe zur Wehr setzen können.;;En algún momento, nuestras unidades van a tener que conservar posiciones clave. Si desarrollamos nuevas armas de apoyo, con las cortinas de fuego defensivas, nuestras brigadas de infantería deberían poder defenderse mejor de un ataque. ;;;;;;;;;x,,;
